BD,Country,lus,Update,Daily request,Publisher name,Seller id,Category,Detailed Category,App bundle,App Name,Integration,Play Store/App Store Link,FullAppAdsURL,Ad format,Top GEOs,Domain,TradPlus direct adstxt,是否添加,配置ttd白名单,Media Kit,,,,,,,,,,
Bella,US,Overseas,,66242359,Rakuten,115217,Social Entertainment,社交,com.viber.voip,Viber Messenger,RTB,https://play.google.com/store/apps/details?id=com.viber.voip,https://www.viber.com/app-ads.txt,Display & Video,PH、VN 、SG 、AU、TH 、UA 、GR 、DE 、PL 、FR 、US 、CA,,,,,,,,,,,,,,,
Bella,US,Overseas,,907445,Rakuten,115217,Social Entertainment,长视频,com.viki.android,"Viki: Asian Drama, Movies & TV",RTB,https://play.google.com/store/apps/details?id=com.viki.android,https://www.viki.com/app-ads.txt,Display & Video,PH、VN 、SG 、AU、TH 、UA 、GR 、DE 、PL 、FR 、US 、CA,,,,,,,,,,,,,,,
Bella,US,Overseas,,11385472,Rakuten,115217,Social Entertainment,社交,382617920,Rakuten Viber Messenger,RTB,https://apps.apple.com/us/app/rakuten-viber-messenger/id382617920,https://www.viki.com/app-ads.txt,Display & Video,PH、VN 、SG 、AU、TH 、UA 、GR 、DE 、PL 、FR 、US 、CA,,,,,,,,,,,,,,,
Bella,US,Overseas,,1169577,Rakuten,115217,Social Entertainment,长视频,445553058,"Viki: Asian Drama, Movies & TV",RTB,https://apps.apple.com/us/app/viki-asian-drama-movies-tv/id445553058,https://www.viki.com/app-ads.txt,Display & Video,PH、VN 、SG 、AU、TH 、UA 、GR 、DE 、PL 、FR 、US 、CA,,,,,,,,,,,,,,,
Bella,Suomi,Overseas,2024.2.2,0,Rovio,115421,Games,益智解谜,com.rovio.abmatch3,Angry Birds Match 3,Tag,https://play.google.com/store/apps/details?id=com.rovio.abmatch3,https://www.rovio.com/app-ads.txt,Video,US KR,,,,,,,,,,,,,,,
Bella,Suomi,Overseas,2024.2.2,0,Rovio,115421,Games,益智解谜,1144401880,Angry Birds Match 3,Tag, https://apps.apple.com/us/app/angry-birds-match-3/id1144401880,https://www.rovio.com/app-ads.txt,Video,US KR,,,,,,,,,,,,,,,
Bella,Suomi,Overseas,2024.3.4,0,Rovio,115421,Games,益智解谜,com.rovio.blast,Angry Birds Blast,Tag,https://play.google.com/store/apps/details?id=com.rovio.blast,https://www.rovio.com/app-ads.txt,Video,US KR,,,,,,,,,,,,,,,
Bella,Suomi,Overseas,2024.3.4,0,Rovio,115421,Games,益智解谜,com.rovio.stellapop,Angry Birds Stella ,Tag,APK,https://www.rovio.com/app-ads.txt,Video,US KR,,,,,,,,,,,,,,,
Bella,Suomi,Overseas,2024.3.4,0,Rovio,115421,Games,益智解谜,com.rovio.ABstellapop,Angry Birds POP Bubble Shooter,Tag,https://play.google.com/store/apps/details?id=com.rovio.ABstellapop,https://www.rovio.com/app-ads.txt,Video,US KR,,,,,,,,,,,,,,,
Bella,Suomi,Overseas,2024.3.4,350292,Rovio,115421,Games,益智解谜,com.rovio.baba,Angry Birds 2,Tag,https://play.google.com/store/apps/details?id=com.rovio.baba,https://www.rovio.com/app-ads.txt,Video,US KR,,,,,,,,,,,,,,,
Bella,Suomi,Overseas,2024.3.4,21506031,Rovio,115421,Games,益智解谜,com.rovio.dream,Angry Birds Dream Blast,Tag,https://play.google.com/store/apps/details?id=com.rovio.dream,https://www.rovio.com/app-ads.txt,Video,US KR,,,,,,,,,,,,,,,
Bella,Suomi,Overseas,2024.3.4,167353,Rovio,115421,Games,益智解谜,com.rovio.angrybirdsfriends,Angry Birds Friends,Tag,https://play.google.com/store/apps/details?id=com.rovio.angrybirdsfriends,https://www.rovio.com/app-ads.txt,Video,US KR,,,,,,,,,,,,,,,
Bella,Suomi,Overseas,2024.3.4,0,Rovio,115421,Games,益智解谜,com.rovio.abcasual,Angry Birds Journey,Tag,https://play.google.com/store/apps/details?id=com.rovio.abcasual,https://www.rovio.com/app-ads.txt,Video,US KR,,,,,,,,,,,,,,,
